2025-04-02 10:03:43.166 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:44.173 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:44.174 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:45.154 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:45.155 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:46.105 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:46.106 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_HOME, status=1, result=0
2025-04-02 10:03:47.272 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=, status=4, result=0
2025-04-02 10:03:48.163 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=, status=4, result=0
2025-04-02 10:03:49.184 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=, status=4, result=0
2025-04-02 10:03:49.639 | INFO     | src.ui.connection_widget:handle_connection:234 - 已断开设备连接
